comuna,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto
CORONEL,ratio docente parvularia,13.5,9.33,20.25,,13.5,13.62,12.63,13.5,12.21,10.23,15.76,32.42,30.5
CORRAL,ratio docente parvularia,12.13,12.13,,,12.13,12.13,,12.13,,10,14.25,,
COYHAIQUE,ratio docente parvularia,14.52,9.78,18.16,,14.52,15.66,10.4,14.52,10.72,13.15,15.28,16.86,31
CUNCO,ratio docente parvularia,14.75,16.28,13.22,,14.75,15,14.25,14.75,14.17,13.93,18.5,,
CURACAUTÍN,ratio docente parvularia,16.69,17,16.08,,16.69,17.26,15.56,16.69,15.33,18.29,15.47,,
CURACAVÍ,ratio docente parvularia,20.07,19.05,20.71,,20.07,21.31,17.29,20.07,14.5,21.35,17.64,37.5,
CURACO DE VÉLEZ,ratio docente parvularia,5.08,5.08,,,5.08,6.5,4.61,5.08,4.17,5.5,6.5,,
CURANILAHUE,ratio docente parvularia,12.48,10.34,17.5,,12.48,13.29,5.2,12.48,9.3,9.7,17.75,15,
CURARREHUE,ratio docente parvularia,16.28,13.2,20.13,,16.28,15.5,16.67,16.28,13.88,18.2,,,
CUREPTO,ratio docente parvularia,14.83,14.83,,,14.83,12.5,16,14.83,19,13,12.5,,
CURICÓ,ratio docente parvularia,15.58,10.15,21.99,20.57,15.58,18.24,9.85,15.58,10.88,12.76,17.14,27.4,20.57
DALCAHUE,ratio docente parvularia,19.96,20.67,19.44,,19.96,25.06,13.17,17.79,6,18.69,26,,
DIEGO DE ALMAGRO,ratio docente parvularia,20.91,18.2,26.33,,20.91,20.91,,23.87,,21.4,,26.33,
DOÑIHUE,ratio docente parvularia,20.05,22.5,11.48,,20.05,17.12,22.4,20.05,18,23.38,17.24,,
EL BOSQUE,ratio docente parvularia,20.33,15.3,23.26,21.5,20.33,20.33,,20.33,25.88,18.58,20.73,29.02,21.5
EL CARMEN,ratio docente parvularia,9,7.43,20,,9,16.67,4.4,9.43,6,,16,20,
EL MONTE,ratio docente parvularia,18.82,9.67,27.96,,18.82,16.22,31.8,18.82,3.8,18.78,26.5,,
EL QUISCO,ratio docente parvularia,30.37,21.78,43.25,,30.37,30.96,28,30.37,,18.67,38.17,,
EL TABO,ratio docente parvularia,20.17,20.17,,,20.17,20.17,,20.17,,16,24.33,,
EMPEDRADO,ratio docente parvularia,19,19,,,19,20,18,19,18,20,,,
ERCILLA,ratio docente parvularia,18.48,16.31,25,,18.48,20.44,17.3,18.48,18.92,17.17,,,
ESTACIÓN CENTRAL,ratio docente parvularia,27.43,26.16,29.26,24.42,27.43,27.43,,27.43,,24.83,27.38,32.23,24.42
FLORIDA,ratio docente parvularia,14.83,14.83,,,14.83,17.33,13.17,14.83,4.5,17.42,,,
FREIRE,ratio docente parvularia,17.44,15.43,18.69,,17.44,17.83,17.19,17.44,18.58,17.35,13.5,,
FREIRINA,ratio docente parvularia,14.98,14.98,,,14.98,13.47,16.5,14.98,9,16.8,17.33,,
FRESIA,ratio docente parvularia,20.42,19,23.25,,20.42,25.13,11,20.42,19,23.25,,,
FRUTILLAR,ratio docente parvularia,17.76,16.32,25,17.75,17.76,20.14,10.63,17.76,25,12.42,22.17,,17.75
FUTALEUFÚ,ratio docente parvularia,12.4,12.4,,,12.4,,12.4,12.4,,,12.4,,
FUTRONO,ratio docente parvularia,20.75,24.7,15.81,,20.75,20.25,21,20.75,16.67,20.35,35,,
GALVARINO,ratio docente parvularia,12.27,13.53,8.89,,12.27,15.38,11.57,12.27,11.57,15.38,,,
GENERAL LAGOS,ratio docente parvularia,,,,,,,,,,,,,
GORBEA,ratio docente parvularia,14.37,11.72,21,,14.37,14.37,,14.37,9.92,15.61,24,,
GRANEROS,ratio docente parvularia,17.11,12.17,21.34,,17.11,17.7,13.83,17.11,13.33,14.86,22.75,23.1,
GUAITECAS,ratio docente parvularia,11.67,11.67,,,11.67,,11.67,11.67,,,11.67,,
HIJUELAS,ratio docente parvularia,15.38,16.23,11.99,,15.38,10.83,18.42,15.38,18,15.56,13.45,,
HUALAIHUÉ,ratio docente parvularia,19.6,17,30,,19.6,30,17,19.6,17.5,16.5,30,,
HUALAÑÉ,ratio docente parvularia,13.53,13.53,,,13.53,15.13,10.33,13.53,,9.29,22,,
HUALPÉN,ratio docente parvularia,14.8,9.32,19.12,15.42,14.8,14.8,,14.8,2.4,12.14,15.86,22.05,15.42
HUALQUI,ratio docente parvularia,13.81,12.44,17.25,,13.81,14.64,11.75,13.81,13.33,12.22,17.25,,
HUARA,ratio docente parvularia,11.88,11.88,,,11.88,,11.88,11.88,0,19.75,8,,
HUASCO,ratio docente parvularia,14.85,14.69,15.33,,14.85,14.85,,14.85,,,14.69,15.33,
HUECHURABA,ratio docente parvularia,22.8,30.09,27.54,11.56,22.8,22.8,,22.8,18.6,26.14,37.58,,11.56
ILLAPEL,ratio docente parvularia,17.23,16.69,18.22,,17.23,17.92,16,18.23,12,16.98,17.66,25.88,
INDEPENDENCIA,ratio docente parvularia,26.13,24.38,29.62,12.25,26.13,26.13,,26.13,,,28.46,24.71,12.25
IQUIQUE,ratio docente parvularia,22.72,24.02,22.41,17.57,22.72,23.17,18.5,22.72,21.61,25.27,20.85,23.7,17.57
ISLA DE MAIPO,ratio docente parvularia,17.28,13.21,20.8,16.5,17.28,17.8,14.67,17.28,13.17,15.35,19.43,29.5,16.5
ISLA DE PASCUA,ratio docente parvularia,16.19,20.38,12,,16.19,16.19,,16.19,,,20.38,12,
JUAN FERNÁNDEZ,ratio docente parvularia,,,,,,,,,,,,,
LA CISTERNA,ratio docente parvularia,24.73,20.89,25.83,,24.73,24.73,,24.73,,27.5,23.56,26.53,24.5
LA CRUZ,ratio docente parvularia,10.7,8.78,15.5,,10.7,12.85,7.83,10.7,7.5,,11.23,,
LA ESTRELLA,ratio docente parvularia,14,14,,,14,24,4,14,,24,4,,
LA FLORIDA,ratio docente parvularia,21.13,18.47,22.7,13.79,21.13,21.13,,21.16,17.83,20.55,21.88,22.66,17.52
LA GRANJA,ratio docente parvularia,17.13,15.63,18.42,,17.13,17.13,,17.13,17.72,16.08,19.82,,
LA HIGUERA,ratio docente parvularia,9.61,9.61,,,9.61,12.33,8.25,9.61,7.5,10.67,,,
LA LIGUA,ratio docente parvularia,20.81,15.44,53,,20.81,24.67,11.17,20.81,,17.89,23,,
LA PINTANA,ratio docente parvularia,18.64,17.05,19.19,,18.64,18.64,,18.64,18.12,18.67,21.71,,
LA REINA,ratio docente parvularia,16.56,21.08,26.69,10.02,16.56,16.56,,16.56,,27.58,23.78,23.21,10.02
LA SERENA,ratio docente parvularia,17.36,12.67,20.58,18.61,17.36,17.8,13.43,17.36,9.04,14.11,16.97,21.86,18.61
LA UNIÓN,ratio docente parvularia,15.85,10.69,29.43,15.46,15.85,18.87,12.17,15.85,15,16.2,10.35,42.5,15.46
LAGO RANCO,ratio docente parvularia,21.83,24.61,13.5,,21.83,18.92,24.75,21.83,13.5,23.92,26,,
LAGO VERDE,ratio docente parvularia,,,,,,,,,,,,,
LAGUNA BLANCA,ratio docente parvularia,,,,,,,,,,,,,
LAJA,ratio docente parvularia,12.77,11.65,14.74,,12.77,13.44,11.6,12.77,11.88,11.88,13.89,17.75,
LAMPA,ratio docente parvularia,25.34,21.42,27.78,19.8,25.34,25.72,22.83,25.34,15.04,28.8,26.7,22.88,19.8
LANCO,ratio docente parvularia,14.83,15.44,14.47,,14.83,14.39,16.17,14.83,,14.67,15.33,,
LAS CABRAS,ratio docente parvularia,19.54,18.75,22.67,,19.54,20.03,19.04,19.54,18.55,18.96,22.67,,
LAS CONDES,ratio docente parvularia,13.93,12.99,26.92,11.44,13.93,13.93,,13.93,,,13.64,22.57,11.36
LAUTARO,ratio docente parvularia,14.35,12.92,15.78,,14.35,12.06,18.17,14.35,18.56,9.8,13.85,,
LEBU,ratio docente parvularia,13.91,13.13,21,,13.91,15.2,8.75,13.91,12.92,13.18,21.83,,
LICANTÉN,ratio docente parvularia,16.37,16.37,,,16.37,10.6,19.25,16.37,19,19.5,10.6,,
LIMACHE,ratio docente parvularia,17.69,13.26,22.12,,17.69,19.12,6.25,17.69,9,13.22,27.6,18.89,
LINARES,ratio docente parvularia,15.29,9.51,20.17,28.38,15.29,17.29,9.66,15.47,10.95,13.23,19.07,25.2,28.38
LITUECHE,ratio docente parvularia,20.58,20.58,,,20.58,,20.58,20.58,,21.75,18.25,,
LLAILLAY,ratio docente parvularia,17.73,16.61,19.98,,17.73,18.47,16.25,17.73,16.5,17.92,17.36,21.33,
LLANQUIHUE,ratio docente parvularia,13.14,9.33,20.75,,13.14,15.21,9,13.14,11,12.28,15.5,,
LO BARNECHEA,ratio docente parvularia,8.5,9.64,12.47,7.1,8.5,8.25,13,8.5,,11.12,11.93,,7.1
LO ESPEJO,ratio docente parvularia,20.43,15.09,26.73,,20.43,20.43,,20.43,16.13,19.08,33.06,,
LO PRADO,ratio docente parvularia,24.95,20.58,29.33,,24.95,24.95,,24.95,,20.08,28.69,32.5,
LOLOL,ratio docente parvularia,18,18,,,18,15,21,18,,21,15,,
LONCOCHE,ratio docente parvularia,18.07,15.45,21.57,,18.07,18.07,,18.07,13,13.89,21.43,,
LONGAVÍ,ratio docente parvularia,13.9,13.63,18.67,,13.9,18.67,13.63,13.9,14.2,13.48,,,
LONQUIMAY,ratio docente parvularia,16.9,16.61,18.67,,16.9,19.67,15.8,16.9,16.13,17.58,18.67,,
LOS ÁLAMOS,ratio docente parvularia,10.9,8.9,18.91,,10.9,14.88,9.91,10.9,8.43,13,13.95,,
LOS ANDES,ratio docente parvularia,18.46,15.67,21.49,17.4,18.46,18.35,21,18.59,22,14.98,18.48,27.1,17.92
LOS ÁNGELES,ratio docente parvularia,15.85,10.13,21.41,17.82,15.85,17.53,12.44,16,12.17,12.25,20.16,25.36,17.82
LOS LAGOS,ratio docente parvularia,20.87,20.62,21.75,,20.87,19.47,23.67,20.87,21.5,21.58,18.42,,
LOS MUERMOS,ratio docente parvularia,20.92,21.53,19.71,,20.92,20.21,21.28,20.92,20.7,22.33,20.07,,
LOS SAUCES,ratio docente parvularia,19,17.33,24,,19,22.67,8,19,,19,,,
LOS VILOS,ratio docente parvularia,23.92,26.17,18.3,,23.92,20.44,28.56,23.92,24,26.78,21.03,,
LOTA,ratio docente parvularia,12.64,8.75,19.12,,12.64,12.64,,12.64,7,11.78,21.13,,
LUMACO,ratio docente parvularia,16.38,16.38,,,16.38,16.38,,16.38,13.75,19,,,
MACHALÍ,ratio docente parvularia,17.48,12.06,23.24,15.21,17.48,18.27,13,17.48,11,16.61,22.5,18.49,15.21
MACUL,ratio docente parvularia,18.16,16.04,20.76,13.03,18.16,18.16,,18.16,,10,18.51,22.36,13.03
MÁFIL,ratio docente parvularia,20.75,13.5,28,,20.75,20,23,20.75,12,23.67,,,
MAIPÚ,ratio docente parvularia,21.13,16.18,22.15,25.78,21.13,21.13,,21.34,15.57,18.78,22.09,21.06,24.37
MALLOA,ratio docente parvularia,12.18,12.18,,,12.18,11.83,12.42,12.18,11.83,12.42,,,
MARCHIHUE,ratio docente parvularia,23.33,23.33,,,23.33,33,18.5,23.33,,17,26.5,,
MARÍA ELENA,ratio docente parvularia,16.29,16.29,,,16.29,16.29,,16.29,,,16.29,,
MARÍA PINTO,ratio docente parvularia,22.97,22.97,,,22.97,26.44,19.5,22.97,,22.07,27.5,,
MARIQUINA,ratio docente parvularia,12.37,13.57,10.7,,12.37,11.3,13.14,12.37,12.88,12.12,,,
MAULE,ratio docente parvularia,16.93,13.68,25.61,,16.93,22.15,13.95,16.93,13.11,15.12,35,21.17,
MAULLIN,ratio docente parvularia,19.13,19.17,19,,19.13,17.83,20.75,18.77,18.5,22.5,15.58,,
MEJILLONES,ratio docente parvularia,25.81,25.81,,,25.81,25.81,,25.81,,25.5,26.13,,
MELIPEUCO,ratio docente parvularia,15,15,15,,15,15,,15,,15,,,
MELIPILLA,ratio docente parvularia,22.38,19.18,26.44,22.54,22.38,23.15,20.71,22.24,21.7,20.06,24.39,26.54,28.31
MOLINA,ratio docente parvularia,19.72,17.81,22.92,,19.72,20.58,18.29,19.72,17.63,18.06,24.17,28.5,
MONTE PATRIA,ratio docente parvularia,17.52,14.7,57,,17.52,14.35,21.14,17.52,15.39,14.18,57,,
MOSTAZAL,ratio docente parvularia,14.87,15.22,13.83,,14.87,11.75,18,14.87,,15.22,13.83,,
MULCHÉN,ratio docente parvularia,8.5,8.03,10.38,,8.5,10.62,0,8.5,2.42,10.11,13.58,,
NACIMIENTO,ratio docente parvularia,12.72,10.13,20.49,,12.72,13.78,5.33,12.72,6.67,11.01,14.79,25.83,
NANCAGUA,ratio docente parvularia,18.05,13.86,27.83,,18.05,26.63,12.33,18.05,12.5,15.67,35.5,,
NATALES,ratio docente parvularia,20.16,21.16,18.83,,20.16,20.16,,20.16,,22.5,20.5,17.71,
NAVIDAD,ratio docente parvularia,22.06,22.06,,,22.06,18.58,29,22.06,,,22.06,,
NEGRETE,ratio docente parvularia,12.75,12.75,,,12.75,14,11.5,12.75,13,14,10,,
NINHUE,ratio docente parvularia,9.79,9.79,,,9.79,17,7.39,9.79,8.75,10.83,,,
ÑIQUÉN,ratio docente parvularia,13.25,13.25,,,13.25,8.75,13.81,13.25,10.1,17.19,,,
NOGALES,ratio docente parvularia,12.6,8.74,17.73,,12.6,13.47,7.33,12.6,,8.99,21.6,,
NUEVA IMPERIAL,ratio docente parvularia,13.94,9.74,17.1,,13.94,17.59,11.21,14.44,10.96,17.68,22.97,,
ÑUÑOA,ratio docente parvularia,18.08,16.62,23.99,16.59,18.08,18.08,,18.08,,,25.75,18.23,16.59
O'HIGGINS,ratio docente parvularia,6.5,6.5,,,6.5,,6.5,6.5,,,6.5,,
OLIVAR,ratio docente parvularia,13.95,13.95,,,13.95,20.6,10.63,13.95,,13.95,,,
OLLAGÜE,ratio docente parvularia,,,,,,,,,,,,,
OLMUÉ,ratio docente parvularia,14.82,15.38,10.89,,14.82,14.64,15,14.82,14,15.09,,,
OSORNO,ratio docente parvularia,15.47,12.83,17.67,13.76,15.47,15.78,13.29,15.75,11.39,13.89,17.08,24.39,13.76
OVALLE,ratio docente parvularia,15.04,11.79,31.61,15.5,15.04,17.54,11.61,15.04,10.45,12.35,24.19,27.32,20
PADRE HURTADO,ratio docente parvularia,23.47,18.25,25.22,23.41,23.47,23.53,23,23.47,,20.83,24.31,24.45,23.41
PADRE LAS CASAS,ratio docente parvularia,16.53,16.12,16.68,,16.53,16.61,16.51,16.53,14.72,16.87,20.8,,
PAIGUANO,ratio docente parvularia,10.44,10.44,,,10.44,9.17,13,10.44,,11.33,8.67,,
PAILLACO,ratio docente parvularia,15.86,13.38,21.67,,15.86,18.66,9.33,17.41,,16.57,19.08,,
PAINE,ratio docente parvularia,21.42,17.64,28.7,27,21.42,24.63,16.41,21.42,12.5,17.83,24.19,26.5,27
PALENA,ratio docente parvularia,17.5,17.5,,,17.5,,17.5,17.5,,,17.5,,
PALMILLA,ratio docente parvularia,12.03,12.03,,,12.03,6.67,13.1,12.03,4,13.63,,,
PANGUIPULLI,ratio docente parvularia,13.61,11.9,15.08,,13.61,15.04,13.27,14.2,15.73,11.11,18.1,,
PANQUEHUE,ratio docente parvularia,9.03,8.63,,11,9.03,9.25,8.58,9.03,,7.54,13,,11
PAPUDO,ratio docente parvularia,21.56,21.33,22,,21.56,20.83,23,21.56,,21.33,22,,
PAREDONES,ratio docente parvularia,11.2,11.2,,,11.2,13.5,9.67,13,8,14.67,,,
PARRAL,ratio docente parvularia,15.15,9.12,26.22,,15.15,18.37,9.25,15.15,6.89,13.17,30.54,15.13,
PEDRO AGUIRRE CERDA,ratio docente parvularia,22.31,16.99,26.88,,22.31,22.31,,22.31,17.5,18.75,30.5,,
PELARCO,ratio docente parvularia,15.69,13.38,20.33,,15.69,12.08,17.5,15.69,13,18.39,,,
PELLUHUE,ratio docente parvularia,13.1,13.1,,,13.1,16.07,10.13,14.47,11.25,14.4,17.75,,
PEMUCO,ratio docente parvularia,10.29,10.29,,,10.29,13.43,9.5,10.29,12,9.86,,,
PEÑAFLOR,ratio docente parvularia,18.65,16.4,20.04,16.25,18.65,18.92,11,18.65,14.5,15.76,21.16,21.7,16.25
PEÑALOLÉN,ratio docente parvularia,17.11,18.57,22.01,7.82,17.11,17.11,,17.2,18.17,19.78,29.5,29.5,6.34
PENCAHUE,ratio docente parvularia,6.23,6.23,,,6.23,10.67,5.13,6.23,10.67,5.5,4,,
PENCO,ratio docente parvularia,14.07,11.04,20.63,,14.07,14.65,10.94,14.07,8.51,11.22,16.99,30,
PERALILLO,ratio docente parvularia,25.33,25.33,,,25.33,21,34,25.33,,25.33,,,
PERQUENCO,ratio docente parvularia,19.45,18.6,22,,19.45,19.8,19.33,19.45,20,19.27,,,
PETORCA,ratio docente parvularia,9.47,8.44,11.53,,9.47,8.13,9.86,9.47,6,11.42,9.75,,
PEUMO,ratio docente parvularia,21.14,17.75,25.67,,21.14,21.17,21.13,21.14,31,15.75,27,,
PICA,ratio docente parvularia,19.22,19.22,,,19.22,,19.22,19.22,,16.33,20.67,,
PICHIDEGUA,ratio docente parvularia,17.9,17.39,23.5,,17.9,18.92,17.7,17.9,14.5,20.26,14.67,,
PICHILEMU,ratio docente parvularia,25.29,23.56,28.75,,25.29,26.81,22.25,25.29,,19.88,28,,
PINTO,ratio docente parvularia,10.69,9.77,15.33,,10.69,14.33,8.88,12.33,8,13.42,,,
PIRQUE,ratio docente parvularia,17.29,21.28,,10.64,17.29,16.39,18.79,17.29,,19.86,22.22,,10.64
PITRUFQUÉN,ratio docente parvularia,20.27,13.13,23.84,,20.27,21.25,17.33,20.27,12.73,16.74,25.11,50,
PLACILLA,ratio docente parvularia,20,20,,,20,22,19.6,20,22,19.5,20,,
PORTEZUELO,ratio docente parvularia,11.67,11,13,,11.67,14.83,5.33,11.67,,11.67,,,
PORVENIR,ratio docente parvularia,13.48,11.29,15.67,,13.48,13.48,,13.48,,,11.29,15.67,
POZO ALMONTE,ratio docente parvularia,18.2,18.2,,,18.2,,18.2,18.2,17.67,20.7,14.83,24,
PRIMAVERA,ratio docente parvularia,13,13,,,13,,13,13,,,13,,
PROVIDENCIA,ratio docente parvularia,15.83,20.65,15.65,14.62,15.83,15.83,,16.86,,,,20.18,15.94
PUCHUNCAVÍ,ratio docente parvularia,23.1,23.1,,,23.1,26.17,18.5,23.1,,24.33,18.17,,
PUCÓN,ratio docente parvularia,20.35,23.13,18.36,,20.35,20.37,20.32,20.35,5.6,22.2,22,21.88,18
PUDAHUEL,ratio docente parvularia,25.3,26.7,24.55,17.92,25.3,25.12,27.5,25.92,26.88,25.62,23.85,36.35,17.92
PUENTE ALTO,ratio docente parvularia,19.73,19.34,20.26,11.2,19.73,19.89,11.87,20.06,17.9,19.8,19.86,23.52,17.6
PUERTO MONTT,ratio docente parvularia,18.56,13.1,26.98,16.58,18.56,20.48,13.62,18.92,13.44,16.24,23.22,24.02,18.81
PUERTO OCTAY,ratio docente parvularia,25.5,25.4,26,,25.5,27.5,24.5,25.5,34,23.25,26,,
PUERTO VARAS,ratio docente parvularia,16.92,14.54,24.17,15.64,16.92,19.08,11.5,16.92,,11.94,21.3,20,15.64
PUMANQUE,ratio docente parvularia,17.5,17.5,,,17.5,23,12,17.5,,23,12,,
PUNITAQUI,ratio docente parvularia,18.17,9.67,26.67,,18.17,21.78,7.33,18.17,12,12.83,35,,
PUNTA ARENAS,ratio docente parvularia,19.69,18,24.03,17.08,19.69,19.97,10,19.69,7.5,16.6,20.74,23.84,18.57
PUQUELDÓN,ratio docente parvularia,11.1,7.88,24,,11.1,22,8.38,11.1,2.25,22,14.5,,
PURÉN,ratio docente parvularia,12.06,12.17,11.75,,12.06,14.25,9.88,12.06,9.75,14.38,,,
PURRANQUE,ratio docente parvularia,11.04,6.94,15.14,,11.04,11.78,8.83,11.04,7.7,8.42,20.42,19.5,
PUTAENDO,ratio docente parvularia,10.25,8.92,16.93,,10.25,12.24,8.83,10.25,6.78,9.97,13.07,13.67,
PUTRE,ratio docente parvularia,22,22,,,22,,22,22,,22,,,
PUYEHUE,ratio docente parvularia,20.23,20.23,,,20.23,17.08,22.33,20.23,22,16.06,31,,
QUEILÉN,ratio docente parvularia,17.89,21.5,10.67,,17.89,12,20.83,17.89,31,11.33,,,
QUELLÓN,ratio docente parvularia,11.9,10.49,13.56,,11.9,13.47,9.4,11.9,11.17,11.13,12,19.33,
QUEMCHI,ratio docente parvularia,11.03,11.04,11,,11.03,15.67,9.05,11.03,7.5,10.67,14,,
QUILACO,ratio docente parvularia,7.57,7.57,,,7.57,6.14,9,7.57,,6.14,9,,
QUILICURA,ratio docente parvularia,27.53,25.82,27.69,32.66,27.53,27.55,27,27.53,23.67,24.75,32.18,24.91,32.66
QUILLECO,ratio docente parvularia,5.43,5.43,,,5.43,5.43,,5.43,,5.43,,,
QUILLÓN,ratio docente parvularia,9.06,7.68,21.5,,9.06,14.17,6.87,9.06,10,7.73,13.25,,
QUILLOTA,ratio docente parvularia,18.16,13.31,22.36,17.22,18.16,19.62,7.96,18.16,4,15.18,20.74,21.41,17.22
QUILPUÉ,ratio docente parvularia,16.14,15.8,16.59,12.11,16.14,16.43,10.67,16.4,5,15.01,16.76,19.23,12.11
QUINCHAO,ratio docente parvularia,11.25,9.4,20.5,,11.25,18.75,7.5,11.25,5,17,,17.75,
QUINTA DE TILCOCO,ratio docente parvularia,17.94,14.92,25.5,,17.94,21.11,15.56,17.94,24,15.32,25,,
QUINTA NORMAL,ratio docente parvularia,22.2,21.26,22.94,,22.2,22.2,,22.2,,21.03,21.54,27.75,
QUINTERO,ratio docente parvularia,22.03,16.05,29.51,,22.03,24.76,12.5,22.03,,21.13,23,21.8,
QUIRIHUE,ratio docente parvularia,9.21,8.94,10,,9.21,9.21,,9.21,4.33,10.75,10.88,,
RANCAGUA,ratio docente parvularia,21.78,20.77,22.65,20.1,21.78,22.31,18.07,21.78,22.5,25.2,20.1,22.22,20.1
RANQUIL,ratio docente parvularia,12.46,12.95,10,,12.46,10.38,13.5,12.46,11,13.19,,,
RAUCO,ratio docente parvularia,18.08,18.08,,,18.08,20.5,17.28,18.08,15.5,20.67,,,
RECOLETA,ratio docente parvularia,20.3,17.97,22.04,15.18,20.3,20.3,,21.02,20.75,20.3,22.43,21.52,15.18
RENAICO,ratio docente parvularia,12.38,11.58,14.75,,12.38,12.38,,12.38,13,12.17,,,
RENCA,ratio docente parvularia,21.81,14.85,25.29,,21.81,21.81,,21.81,18.38,21.27,25.68,20.86,
RENGO,ratio docente parvularia,16.61,15.27,21.97,,16.61,19.09,13.92,16.61,11.11,15.23,24.42,19.75,
REQUÍNOA,ratio docente parvularia,23.06,23.43,35,8.5,23.06,24.5,21.9,23.06,17,26.13,25.83,,8.5
RETIRO,ratio docente parvularia,10.21,7.49,22.43,,10.21,15.08,8.38,10.21,8.54,11.6,,,
RINCONADA,ratio docente parvularia,16.54,10.22,35.5,,16.54,16.54,,16.54,,10.22,35.5,,
RÍO BUENO,ratio docente parvularia,16.15,16.57,14.99,,16.15,18.37,14.67,16.15,15,16.03,16.33,21.29,
RÍO CLARO,ratio docente parvularia,14.5,14.5,,,14.5,9.75,17.67,14.5,11,19.75,,,
RÍO HURTADO,ratio docente parvularia,15,15,,,15,,15,15,14,17,,,
RÍO IBÁÑEZ,ratio docente parvularia,10.33,10.33,,,10.33,,10.33,10.33,,7,17,,
RÍO NEGRO,ratio docente parvularia,17,11.67,33,,17,17,,17,,17,,,
RÍO VERDE,ratio docente parvularia,2,2,,,2,,2,,,,,,
ROMERAL,ratio docente parvularia,12.49,10.74,26.5,,12.49,20.28,8.6,12.49,11,11.43,16.42,,
SAAVEDRA,ratio docente parvularia,20.18,21.1,19.42,,20.18,29.5,14.86,20.18,18,22,,,
SAGRADA FAMILIA,ratio docente parvularia,10.28,10.28,,,10.28,12.75,9.57,10.28,,10.28,,,
SALAMANCA,ratio docente parvularia,15.33,16.23,13.36,,15.33,13.29,17.38,15.33,11.3,15.5,18.51,15.75,
SAN ANTONIO,ratio docente parvularia,17.79,12.38,21.17,,17.79,18.63,10.38,17.79,15.09,14.01,17.98,33.58,
SAN BERNARDO,ratio docente parvularia,20.16,17.95,22.4,16.84,20.16,20.16,,20.43,25.58,17.62,20.85,24.47,16.84
SAN CARLOS,ratio docente parvularia,12.24,10.54,16.63,,12.24,12.67,11.78,12.24,10.53,10.83,19.68,16.68,
SAN CLEMENTE,ratio docente parvularia,15.04,13.26,31.08,,15.04,28.61,12.65,15.04,14.79,12.02,22.29,,
SAN ESTEBAN,ratio docente parvularia,15.94,15.94,,,15.94,17.4,13.5,15.94,13,13.5,23.5,,
SAN FABIÁN,ratio docente parvularia,14.13,14.13,,,14.13,14.25,14,14.13,,14,14.25,,
SAN FELIPE,ratio docente parvularia,16.48,10.37,24.03,32.03,16.48,19.03,7,16.48,6.13,15.12,16.42,20.4,32.03
SAN FERNANDO,ratio docente parvularia,19.7,15.32,23.67,26.79,19.7,21.76,14.03,19.7,16.36,15.33,26.05,21.83,26.79
SAN GREGORIO,ratio docente parvularia,2,2,,,2,,2,2,,,,2,
SAN IGNACIO,ratio docente parvularia,8.61,7.7,16.8,,8.61,11.87,7.21,8.61,8.42,8.73,,,
SAN JAVIER,ratio docente parvularia,15.48,11.83,22.25,,15.48,21.05,9.9,15.48,9.94,17.83,21.35,27.67,
SAN JOAQUÍN,ratio docente parvularia,19.58,17.73,21.22,,19.58,19.58,,19.58,,21.22,17.89,20,
SAN JOSÉ DE MAIPO,ratio docente parvularia,19.61,18.43,26.67,,19.61,21.13,19,19.61,,12.3,22.53,,
SAN JUAN DE LA COSTA,ratio docente parvularia,15.25,11,19.5,,15.25,,15.25,15.25,16,15,,,
SAN MIGUEL,ratio docente parvularia,22.54,21.3,23.89,17.7,22.54,22.54,,23.93,,,14.67,26.11,21.66
SAN NICOLÁS,ratio docente parvularia,11.46,11.46,,,11.46,16.25,10.5,11.46,13,8.83,16.25,,
SAN PABLO,ratio docente parvularia,8.13,8.17,8.06,,8.13,11.56,6.42,8.13,5.67,8.63,10.83,,
SAN PEDRO,ratio docente parvularia,14.8,14.8,,,14.8,,14.8,14.8,,14.77,15,,
SAN PEDRO DE ATACAMA,ratio docente parvularia,20.21,20.21,,,20.21,30.75,9.67,20.21,,30.75,9.67,,
SAN PEDRO DE LA PAZ,ratio docente parvularia,17.24,8.71,21.7,14.61,17.24,17.24,,17.24,11.38,15.41,18.16,25.33,16.85
SAN RAFAEL,ratio docente parvularia,14.62,14.62,,,14.62,19.67,12.94,14.62,8.5,16.67,,,
SAN RAMÓN,ratio docente parvularia,15.6,15,16.05,,15.6,15.6,,16.28,13,16.38,17.17,,
SAN ROSENDO,ratio docente parvularia,10.67,10.67,,,10.67,10.67,,10.67,,,10.67,,
SAN VICENTE,ratio docente parvularia,19.05,14.59,48,,19.05,32.93,14,19.05,13.44,14.94,73,23,
SANTA BÁRBARA,ratio docente parvularia,9.38,9.04,10.18,,9.38,12.77,7.13,9.38,3.1,8.85,17.27,,
SANTA CRUZ,ratio docente parvularia,18.01,15.07,29.56,10,18.01,22.33,14.55,18.01,14.4,21.73,18.57,18.9,10
SANTA JUANA,ratio docente parvularia,20.7,14.08,30.63,,20.7,20.63,21,20.7,10.63,21,36.25,25,
SANTA MARÍA,ratio docente parvularia,11.58,9.28,18.5,,11.58,12.33,10.83,11.58,,11.28,12.5,,
SANTIAGO,ratio docente parvularia,22.58,19.2,27.2,14.72,22.58,22.58,,22.92,,20.61,25.12,24.16,14.72
